example ID,text,respondent,sex,year of birth,language,language group,education,comments,non-standard government,selecting predicate,type of speaker,context type,toponym/year,initial phoneme,omitted,preposition,preposition_eng,PP,semantic type,
1,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,ходила,,spatial,,consonant,,на,na 'on(to)',на базар,goal,
2,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,other,,consonant,,у,u 'at',у нас,,
3,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,other,,consonant,,за,za 'behind; for',за трудодни,,
4,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,other,,consonant,,за,za 'behind; for',за трудодни,,
5,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,ходят,,spatial,,consonant,,на,na 'on(to)',на базар,goal,
6,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,ходят,,other,,consonant,,на,na 'on(to)',на машинах,instrument,
7,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,ездят,,spatial,toponym,consonant,,в,v 'in(to)',в Гуниб,goal,
8,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,дорога,,spatial,toponym,consonant,,в,v 'in(to)',в Гуниб,goal,
9,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,other,,consonant,,у,u 'at',у кого,,
10,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,шла,,spatial,toponym,consonant,,через,čerez 'via/through',через Чох,path,
11,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,дорога,,spatial,toponym,consonant,,до,"do 'up to, until'",до Кумуха,goal,
12,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,other,,consonant,,у,u 'at',у нас,,
13,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,spatial,toponym,consonant,,в,v 'in(to)',в Кумухе,locative,
14,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,spatial,,consonant,,в,v 'in(to)',в наших магазинах,locative,
15,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,spatial,toponym,vowel,,в,v 'in(to)',в Олоне,locative,
16,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,ходить,,spatial,,consonant,,в,v 'in(to)',в села Гунибского района,goal,
17,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,spatial,toponym,consonant,,в,v 'in(to)',в Салта,goal,
18,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,spatial,toponym,consonant,да,в,v 'in(to)',Кегер,goal,
19,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,ездить,,spatial,toponym,consonant,да,в,v 'in(to)',Гуниб,goal,
20,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,была,,spatial,,consonant,,из,"iz 'from, of'",из села,source,
21,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,была,,spatial,,consonant,,из,"iz 'from, of'",из лахского села,source,
22,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,other,,vowel,,на,na 'on(to)',на этом,locative,
23,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,быть,,spatial,,vowel,,на,na 'on(to)',на этой горе,locative,
24,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,other,,consonant,,в,v 'in(to)',в подарок,,
25,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,отправлять,,spatial,,consonant,,из,"iz 'from, of'",из нашего,source,
26,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,отправлять,,spatial,toponym,consonant,,из,"iz 'from, of'",из Дагестана,source,
27,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,умерла,,other,,consonant,,от,ot 'from',от тоски,cause,
28,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,other,,consonant,,у,u 'at',у ней,,
29,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,приходить,,other,,consonant,,к,k 'to',к нам,goal,
30,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,были переселены,,spatial,toponym,consonant,,из,"iz 'from, of'",из Гунибского района,source,
31,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,other,,consonant,,у,u 'at',у них,,
32,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,other,,vowel,,за,za 'behind; for',за этим,,
33,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,other,,vowel,,из-за,iz-za 'due to',из-за этих вещей,cause,
34,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,other,,consonant,,в,v 'in(to)',в бедности,,
35,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,переселять,,spatial,,vowel,,в,v 'in(to)',в эти богатые чеченские села,goal,
36,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,spatial,,vowel,,в,v 'in(to)',в это,,
37,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,other,,consonant,,с,s ‘with/from/off’,с детьми,comitative,
38,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,spatial,,vowel,,на,na 'on(to)',на этой горе,locative,
39,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,приходить,,spatial,toponym,consonant,,из,"iz 'from, of'",из Шитлиба,source,
40,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,приходить,,other,,consonant,,к,k 'to',к нам,goal,
41,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,были,,spatial,toponym,vowel,,из,"iz 'from, of'",из Эбоха,source,
42,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,other,,vowel,,в,v 'in(to)',в этих старших классах,locative_temp,
43,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,temporal,,vowel,,на,na 'on(to)',на уроках русского языка и математики,locative_temp,
44,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,other,,consonant,,с,s ‘with/from/off’,с чем-то,,
45,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,быть,,spatial,institution,consonant,,в,v 'in(to)',в мед.институте,locative,
46,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,быть,,spatial,institution,consonant,,в,v 'in(to)',в пед. институте,locative,
